"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SITUACAO_LEGENDA";"DS_SITUACAO";"NM_TIPO_DESTINACAO_VOTOS"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"3";"GOVERNADOR";"COLIGAÇÃO";"44";"UNIÃO";"UNIÃO BRASIL";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681614";"São Paulo pra Frente";"(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"3";"GOVERNADOR";"COLIGAÇÃO";"40";"PSB";"PARTIDO SOCIALISTA BRASILEIRO";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681617";"Juntos por São Paulo";"(PT/PC do B/PV) / PSB / (PSOL/REDE) / AGIR";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"3";"GOVERNADOR";"COLIGAÇÃO";"18";"REDE";"REDE SUSTENTABILIDADE";"3";"Federação PSOL REDE";"PSOL/REDE";"PSOL/REDE";"250001681617";"Juntos por São Paulo";"(PT/PC do B/PV) / PSB / (PSOL/REDE) / AGIR";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"10";"2º SUPLENTE";"COLIGAÇÃO";"43";"PV";"PARTIDO VERDE";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PT/PC do B/PV";"250001681805";"JUNTOS POR SÃO PAULO";"(PT/PC do B/PV) / AGIR / (PSOL/REDE) / PSB";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"10";"2º SUPLENTE";"COLIGAÇÃO";"19";"PODE";"PODEMOS";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681616";"SÃO PAULO PRA FRENTE";"(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"70";"AVANTE";"AVANTE";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681614";"São Paulo pra Frente";"(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"44";"UNIÃO";"UNIÃO BRASIL";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681614";"São Paulo pra Frente";"(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"7";"DEPUTADO ESTADUAL";"PARTIDO ISOLADO";"35";"PMB";"PARTIDO DA MULHER BRASILEIRA";"-1";"#NULO#";"#NULO#";"#NULO#";"250001682984";"#NULO#";"PMB";"D";"DEFERIDO";"Válido (legenda)"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"11";"PP";"PROGRESSISTAS";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681614";"São Paulo pra Frente";"(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"45";"PSDB";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"Federação PSDB Cidadania";"PSDB/CIDADANIA";"PSDB/CIDADANIA";"250001681614";"São Paulo pra Frente";"(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"50";"PSOL";"PARTIDO SOCIALISMO E LIBERDADE";"3";"Federação PSOL REDE";"PSOL/REDE";"PSOL/REDE";"250001681617";"Juntos por São Paulo";"(PT/PC do B/PV) / PSB / (PSOL/REDE) / AGIR";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"9";"1º SUPLENTE";"PARTIDO ISOLADO";"16";"PSTU";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681524";"#NULO#";"PSTU";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"3";"GOVERNADOR";"COLIGAÇÃO";"10";"REPUBLICANOS";"REPUBLICANOS";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681815";"SÃO PAULO PODE MAIS";"REPUBLICANOS / PL / PSD / PTB / PSC / PMN";"D";"DEFERIDO";"Válido"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"9";"1º SUPLENTE";"COLIGAÇÃO";"19";"PODE";"PODEMOS";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681616";"SÃO PAULO PRA FRENTE";"(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"6";"DEPUTADO FEDERAL";"FEDERAÇÃO";"13";"PT";"PARTIDO DOS TRABALHADORES";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PT/PC do B/PV";"250001681527";"#NULO#";"PT/PC do B/PV";"D";"DEFERIDO";"Válido (legenda)"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"10";"2º SUPLENTE";"PARTIDO ISOLADO";"80";"UP";"UNIDADE POPULAR";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681138";"#NULO#";"UP";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"4";"VICE-GOVERNADOR";"COLIGAÇÃO";"19";"PODE";"PODEMOS";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681614";"São Paulo pra Frente";"(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"10";"2º SUPLENTE";"COLIGAÇÃO";"44";"UNIÃO";"UNIÃO BRASIL";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681616";"SÃO PAULO PRA FRENTE";"(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"9";"1º SUPLENTE";"PARTIDO ISOLADO";"30";"NOVO";"PARTIDO NOVO";"-1";"#NULO#";"#NULO#";"#NULO#";"250001680949";"#NULO#";"NOVO";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"3";"GOVERNADOR";"COLIGAÇÃO";"13";"PT";"PARTIDO DOS TRABALHADORES";"2";"Federação Brasil da Esperança - FE BRASIL";"PT/PC do B/PV";"PT/PC do B/PV";"250001681617";"Juntos por São Paulo";"(PT/PC do B/PV) / PSB / (PSOL/REDE) / AGIR";"D";"DEFERIDO";"Válido"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"10";"2º SUPLENTE";"PARTIDO ISOLADO";"29";"PCO";"PARTIDO DA CAUSA OPERÁRIA";"-1";"#NULO#";"#NULO#";"#NULO#";"250001683397";"#NULO#";"PCO";"D";"DEFERIDO";"#NE"
"03/09/2023";"19:32:00";"2022";"2";"ELEIÇÃO ORDINÁRIA";"1";"546";"Eleições Gerais Estaduais 2022";"02/10/2022";"SP";"SP";"SÃO PAULO";"9";"1º SUPLENTE";"PARTIDO ISOLADO";"80";"UP";"UNIDADE POPULAR";"-1";"#NULO#";"#NULO#";"#NULO#";"250001681138";"#NULO#";"UP";"D";"DEFERIDO";"#NE"
