Mortalidade Geral
Óbitos Residentes MSP por Idade Detalhada e Distrito Admin residência
Sexo: Masculino
Raça/Cor: Amarela
Período:2010-2019
"Idade Detalhada";"Água Rasa";"Alto de Pinheiros";"Anhanguera";"Aricanduva";"Artur Alvim";"Barra Funda";"Bela Vista";"Belém";"Bom Retiro";"Brás";"Brasilândia";"Butantã";"Cachoeirinha";"Cambuci";"Campo Belo";"Campo Grande";"Campo Limpo";"Cangaíba";"Capão Redondo";"Carrão";"Casa Verde";"Cidade Ademar";"Cidade Dutra";"Cidade Líder";"Cidade Tiradentes";"Consolação";"Cursino";"Ermelino Matarazzo";"Freguesia do Ó";"Grajaú";"Guaianases";"Iguatemi";"Ipiranga";"Itaim Bibi";"Itaim Paulista";"Itaquera";"Jabaquara";"Jaçanã";"Jaguara";"Jaguaré";"Jaraguá";"Jardim Ângela";"Jardim Helena";"Jardim Paulista";"Jardim São Luís";"José Bonifácio";"Lajeado";"Lapa";"Liberdade";"Limão";"Mandaqui";"Marsilac";"Moema";"Moóca";"Morumbi";"Parelheiros";"Pari";"Parque do Carmo";"Pedreira";"Penha";"Perdizes";"Perus";"Pinheiros";"Pirituba";"Ponte Rasa";"Raposo Tavares";"República";"Rio Pequeno";"Sacomã";"Santa Cecília";"Santana";"Santo Amaro";"São Domingos";"São Lucas";"São Mateus";"São Miguel";"São Rafael";"Sapopemba";"Saúde";"Sé";"Socorro";"Tatuapé";"Tremembé";"Tucuruvi";"Vila Andrade";"Vila Curuçá";"Vila Formosa";"Vila Guilherme";"Vila Jacuí";"Vila Leopoldina";"Vila Maria";"Vila Mariana";"Vila Matilde";"Vila Medeiros";"Vila Prudente";"Vila Sônia";"Ignorado";"Total"
"47 anos";1;-;-;1;1;1;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;3;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;1;-;2;-;-;-;1;-;-;-;2;-;-;1;1;1;33
"48 anos";-;-;-;2;-;-;1;-;-;1;-;-;1;-;-;1;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;1;-;1;-;-;2;-;-;-;-;2;-;-;-;1;1;1;-;-;-;-;-;-;-;-;2;-;-;-;1;1;1;-;-;-;4;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;37
"49 anos";-;-;-;-;2;-;-;-;1;2;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;1;-;-;-;-;1;1;-;1;3;1;-;-;2;-;-;-;-;-;1;-;-;2;1;-;-;-;-;35
"50 anos";-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;-;-;-;-;1;2;1;2;-;-;-;-;-;-;-;-;-;2;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;28
"51 anos";-;-;-;-;1;-;-;1;1;-;-;-;-;-;1;-;-;1;-;2;2;1;-;1;-;-;2;-;1;-;-;-;1;-;-;2;1;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;2;1;-;1;-;-;-;-;3;-;-;1;2;-;-;1;-;-;-;-;-;2;1;1;-;-;-;40
"52 anos";1;1;-;1;1;1;-;-;1;1;1;1;-;2;1;4;-;1;-;2;-;2;-;1;-;-;2;1;1;1;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;1;2;-;-;-;1;-;-;2;-;-;-;2;-;-;-;1;-;1;1;1;1;-;1;-;-;-;-;1;-;49
"53 anos";-;1;-;-;-;-;-;-;1;-;-;1;2;-;1;1;1;1;1;2;3;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;4;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;1;1;1;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;3;-;-;2;1;-;-;1;-;-;-;-;-;1;3;1;-;-;1;49
"54 anos";1;-;-;-;1;1;-;1;-;2;-;1;-;-;4;1;-;-;-;1;-;1;1;-;-;-;1;-;-;1;-;-;1;-;-;-;4;1;-;2;-;-;-;-;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;1;2;1;-;-;1;1;-;1;2;3;-;1;-;-;1;-;1;3;-;-;-;-;1;54
"55 anos";1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;2;-;-;1;-;1;1;1;-;1;2;-;-;1;-;-;2;1;-;1;3;-;-;-;1;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;2;-;1;-;1;1;1;-;-;1;-;1;3;-;1;1;-;1;-;-;-;-;-;-;-;3;2;1;-;-;1;51
"56 anos";-;-;-;2;-;-;-;-;2;1;-;1;-;-;-;1;-;-;-;3;4;1;-;1;-;-;1;-;1;-;-;-;1;-;1;1;3;-;1;1;-;-;1;-;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;1;-;-;1;-;1;-;-;1;1;-;3;-;1;-;-;-;-;-;2;1;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;49
"57 anos";-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;2;3;2;1;2;-;-;2;2;-;2;-;-;2;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;2;-;2;3;-;-;1;-;1;1;-;-;-;2;-;-;-;-;3;-;-;2;-;-;-;-;5;5;-;-;1;-;59
"58 anos";-;-;-;2;1;-;2;1;4;1;2;2;-;-;1;3;1;1;-;1;-;4;2;2;-;-;6;-;3;2;-;-;2;1;1;-;7;-;-;-;-;-;1;-;1;-;-;-;6;-;2;-;4;-;-;-;-;1;2;-;1;1;2;2;1;-;1;2;3;1;-;1;-;1;2;2;-;-;4;4;-;2;-;-;-;1;1;-;-;-;-;4;-;-;1;1;1;108
"59 anos";1;-;-;1;-;1;-;2;4;-;1;-;2;-;-;2;1;2;-;4;-;2;3;1;-;1;5;-;-;1;-;-;3;1;1;1;3;-;-;1;-;-;-;-;-;-;1;3;3;-;2;-;-;1;1;1;2;-;2;2;1;1;1;-;1;2;1;3;6;2;1;-;-;3;1;-;-;1;6;2;-;-;2;1;1;3;1;-;-;-;-;6;1;2;2;4;-;117
"60 anos";2;-;-;-;1;-;2;1;4;-;-;4;1;-;1;3;2;1;2;5;1;2;2;-;-;-;5;1;2;1;1;-;2;1;1;3;2;-;-;-;1;-;-;1;-;-;1;-;6;-;1;-;1;3;1;-;3;-;1;4;2;-;2;-;1;-;1;2;2;1;2;3;1;3;-;1;-;2;9;-;1;-;3;1;-;1;-;-;-;-;-;4;5;2;3;5;1;134
"61 anos";1;2;-;1;2;-;-;-;2;-;-;-;1;1;1;-;3;-;1;3;2;2;3;-;-;1;2;2;1;1;-;-;3;-;1;1;5;1;-;1;-;-;-;-;1;1;-;-;6;2;2;-;1;-;-;1;2;-;1;1;2;-;-;2;4;1;3;2;2;1;4;1;-;1;1;2;-;-;4;-;-;2;-;-;-;-;-;1;-;-;-;2;1;1;-;2;1;102
"62 anos";1;1;-;-;-;-;1;1;5;-;-;2;2;-;3;2;1;-;-;2;2;5;1;-;1;2;4;1;1;1;-;-;2;-;-;4;9;-;1;-;1;-;-;1;-;1;-;-;9;1;-;-;-;1;-;-;-;-;1;1;-;-;-;2;2;1;1;2;2;-;2;2;-;3;1;1;-;1;5;1;1;-;3;2;-;2;1;1;-;1;-;4;-;-;1;3;1;117
"63 anos";-;3;-;1;2;1;1;-;3;-;-;1;3;2;2;-;1;-;-;3;4;3;-;-;-;-;6;-;2;-;-;-;2;1;1;1;6;1;-;1;-;-;-;2;1;-;-;1;4;1;1;-;1;1;-;-;-;-;1;-;-;-;-;2;3;1;2;3;4;-;1;1;2;4;3;2;-;-;5;1;-;-;2;1;-;1;1;-;1;2;1;8;-;1;1;1;-;118
"64 anos";1;-;1;1;-;1;4;2;5;-;-;5;1;1;-;2;2;-;-;6;3;1;3;6;-;-;7;1;2;2;1;-;2;1;-;1;10;2;-;-;2;-;2;-;1;-;-;1;4;-;3;-;-;-;1;-;1;-;2;2;1;-;2;-;4;3;4;1;6;3;-;5;2;3;1;-;-;1;6;1;-;1;-;1;1;-;1;2;-;-;1;4;-;1;1;3;-;152
"65 anos";-;1;-;3;-;-;-;-;1;2;-;2;-;2;1;1;3;-;-;3;3;1;1;-;-;-;5;2;-;-;-;1;2;1;-;1;7;1;-;1;1;-;-;1;-;-;-;-;4;-;-;-;1;2;-;1;1;-;2;4;2;-;1;2;2;-;2;4;1;1;2;1;1;-;1;2;2;2;11;2;1;1;1;2;1;3;-;1;1;-;1;8;6;-;1;4;-;132
"66 anos";2;-;-;3;-;-;1;-;4;-;1;1;1;1;3;5;-;-;2;4;3;3;3;3;-;2;6;2;1;-;-;-;-;-;1;4;8;1;-;3;-;1;1;2;1;1;1;1;9;-;3;-;2;-;1;-;-;1;-;2;1;1;2;2;4;2;2;6;8;-;3;3;1;3;4;2;-;-;10;1;1;1;3;2;-;2;1;1;-;1;1;7;3;3;3;3;-;181
"67 anos";2;2;-;3;1;-;-;1;8;-;1;3;3;2;2;2;-;3;2;2;5;3;1;1;-;2;5;-;2;-;-;1;1;-;1;2;3;2;-;1;-;-;1;-;1;3;-;1;10;2;-;-;-;-;2;-;-;1;1;2;1;1;-;-;-;2;3;4;7;1;2;6;1;4;4;-;-;1;10;1;1;1;1;2;1;2;4;1;-;2;1;5;4;1;1;4;1;171
"68 anos";5;2;-;-;-;-;4;-;5;1;-;4;1;4;3;4;2;-;-;3;3;5;3;-;1;2;5;4;1;-;-;1;2;3;-;1;7;2;-;4;-;-;1;1;2;-;-;-;4;1;-;2;-;1;2;1;-;-;-;3;1;1;-;2;2;3;1;4;3;-;2;3;1;-;2;1;-;1;19;2;1;-;2;3;1;1;2;2;1;-;-;5;7;2;1;2;3;181
"69 anos";1;-;1;1;1;3;1;3;5;1;2;5;2;-;6;4;4;-;-;5;4;3;1;2;-;-;2;1;1;2;-;1;4;3;-;4;13;1;-;2;2;-;-;3;1;3;1;1;8;4;-;-;1;2;-;-;-;-;-;3;-;-;5;1;2;1;-;5;5;1;7;3;-;2;4;2;1;1;7;2;2;2;-;3;-;1;-;1;2;1;1;9;5;3;3;1;-;201
"70 anos";3;-;1;4;2;-;5;-;3;1;1;3;2;3;2;5;2;1;1;3;7;1;1;4;2;-;8;3;1;1;1;1;7;2;-;1;10;-;-;2;1;2;1;1;-;1;1;4;8;-;1;1;2;2;-;3;1;-;-;-;2;1;2;3;1;1;-;4;5;1;2;3;-;6;1;-;-;4;5;1;6;1;2;3;-;2;1;2;2;1;3;4;2;2;3;2;1;202
"71 anos";3;2;-;4;5;3;-;2;4;-;-;3;2;1;6;5;2;-;1;3;3;1;-;1;-;1;13;2;2;-;1;-;6;4;2;1;10;2;-;2;-;1;2;-;-;2;1;2;9;-;2;-;3;-;-;2;1;1;1;6;-;-;5;-;-;3;2;3;10;1;2;3;2;4;3;2;1;1;7;1;-;3;-;6;4;1;1;3;1;1;3;9;6;-;1;4;1;224
"72 anos";4;1;-;1;1;-;1;-;8;1;3;2;3;6;4;4;2;-;2;8;5;5;3;2;1;1;9;1;1;1;-;2;4;2;1;4;14;-;-;3;2;-;1;1;2;-;-;2;6;-;2;-;-;1;-;2;-;-;1;6;1;1;2;-;3;1;1;5;8;2;4;2;-;2;2;1;-;2;16;5;4;5;4;2;1;-;6;1;-;1;-;10;7;4;4;5;1;249
"73 anos";3;-;-;3;3;-;2;2;4;1;-;6;4;2;5;1;5;-;-;11;6;3;1;-;-;-;13;5;1;-;1;-;4;4;3;4;10;-;1;3;2;-;1;3;1;2;1;2;12;-;4;-;2;-;2;-;2;-;1;5;1;-;3;2;2;2;-;7;6;1;5;1;1;5;4;4;1;5;16;1;2;1;3;5;1;-;2;2;1;1;3;7;7;1;2;7;-;263
"74 anos";2;-;-;4;-;1;-;1;1;1;-;6;4;2;3;3;7;3;1;15;9;3;4;2;1;-;14;-;1;2;-;1;7;4;1;2;10;3;-;6;-;1;3;3;4;-;-;2;7;-;1;-;3;2;1;-;2;1;-;3;3;-;3;2;4;2;3;7;8;5;6;3;-;6;3;3;1;-;12;4;-;2;4;2;2;1;1;-;2;-;2;10;4;-;3;3;1;269
"75 anos";5;1;1;6;1;-;3;1;6;2;2;9;2;3;5;4;7;3;3;12;5;1;2;2;-;1;11;1;2;-;-;-;5;3;2;4;19;4;-;1;-;1;1;2;-;-;-;-;16;1;3;-;3;1;1;2;1;1;1;2;-;-;2;3;2;1;3;3;5;1;7;1;-;5;2;5;-;2;17;2;5;3;3;3;1;1;2;1;-;2;3;6;4;1;1;6;1;279
"76 anos";5;2;-;5;4;-;1;1;3;2;1;8;1;2;3;5;-;5;2;9;5;6;5;1;-;-;9;-;3;1;-;-;3;-;2;1;16;3;-;3;2;1;1;1;3;-;-;2;10;2;4;-;3;4;-;2;-;2;-;2;3;-;6;3;6;4;-;6;4;3;3;3;1;5;1;-;-;1;16;3;4;3;4;3;1;3;2;1;3;2;2;12;5;3;3;8;-;283
"77 anos";1;2;1;5;4;-;3;-;8;-;-;4;-;1;4;8;-;-;1;7;5;4;5;3;-;-;14;1;2;2;-;-;8;1;1;2;9;-;-;2;2;1;-;2;1;-;-;1;13;1;5;1;2;5;1;-;-;1;1;3;6;-;2;5;7;2;2;10;5;3;3;1;1;6;2;1;1;2;7;6;5;3;5;2;-;1;2;2;2;3;1;13;2;-;5;8;-;274
"78 anos";4;1;1;4;-;-;2;2;3;1;3;7;2;1;4;4;2;3;2;8;6;6;3;3;-;-;10;1;3;2;1;1;4;2;2;5;16;5;2;5;-;-;3;4;-;1;-;3;13;4;7;-;3;2;1;-;-;-;1;7;2;-;2;3;2;3;1;7;7;3;6;2;2;5;3;3;1;2;16;2;4;1;3;6;3;-;4;-;-;3;4;7;5;3;4;5;-;304
"79 anos";2;2;-;2;4;1;-;2;-;-;3;2;2;6;4;8;-;1;1;13;7;6;1;3;2;1;21;2;4;4;1;-;8;3;1;2;6;1;-;2;-;-;1;3;1;2;1;1;9;2;5;1;2;3;1;-;-;1;-;5;1;-;4;1;2;3;-;6;10;1;1;2;3;4;2;2;-;1;19;3;2;1;2;7;-;2;4;-;-;1;2;10;10;3;6;4;-;285
"80 anos";3;-;-;3;1;-;5;-;4;1;2;7;3;4;5;1;3;3;-;8;4;3;2;2;2;-;10;2;2;2;-;-;4;3;1;4;16;1;-;1;-;5;1;2;2;-;1;1;14;2;1;-;1;5;2;-;1;2;2;4;1;-;3;3;2;2;1;7;9;3;8;5;1;5;-;2;-;3;15;3;5;3;2;5;2;-;1;2;2;3;1;9;3;-;2;5;-;276
"81 anos";3;4;-;2;1;-;4;-;3;-;1;7;5;1;2;6;1;2;-;10;7;1;2;4;-;-;19;-;2;1;2;1;9;6;-;6;15;2;-;2;-;-;-;2;1;-;-;-;13;1;-;-;2;1;1;-;-;1;1;3;3;-;2;3;1;2;4;5;5;3;6;3;1;3;3;-;1;1;21;4;3;5;4;2;-;1;2;1;1;3;1;10;6;2;4;9;-;282
"82 anos";4;4;-;2;2;-;2;-;1;1;-;6;2;3;3;3;3;2;-;13;3;2;5;3;-;-;10;3;1;3;1;-;2;2;3;3;13;4;-;2;3;-;-;3;2;1;-;-;8;3;2;-;1;2;1;1;1;1;1;6;3;-;4;2;5;1;1;9;5;2;4;2;-;7;2;2;-;2;23;5;4;3;5;2;3;2;1;2;1;3;1;12;3;2;2;11;-;283
"83 anos";3;3;-;8;3;1;2;1;5;-;2;6;-;1;5;3;3;-;3;14;6;4;7;1;-;-;12;-;1;1;1;-;5;3;2;1;16;1;-;-;2;-;1;1;-;1;-;3;11;1;2;-;-;1;3;1;-;1;1;2;1;-;5;3;3;3;2;8;6;2;7;5;1;8;1;2;-;1;18;2;2;1;2;8;-;2;1;1;-;1;1;13;6;2;4;6;-;283
"84 anos";2;2;-;3;1;1;4;1;2;1;-;7;1;1;8;5;1;4;1;7;8;4;6;3;-;-;11;1;2;-;-;1;5;2;-;3;11;1;-;2;-;-;-;-;-;-;1;1;9;3;1;-;2;2;1;2;-;1;-;2;3;-;3;1;3;-;-;3;9;1;1;2;-;2;4;3;2;1;16;5;-;3;5;3;1;1;-;1;-;3;2;9;7;2;2;4;2;241
"85 anos";1;4;-;2;3;-;1;2;3;-;-;7;1;2;2;6;4;5;-;6;3;1;2;1;1;-;20;-;1;-;-;-;5;2;-;4;19;2;1;3;-;-;-;2;-;-;-;2;15;-;1;-;3;-;-;-;1;2;-;2;1;-;6;3;1;1;-;6;11;1;5;1;-;3;2;-;-;-;29;2;5;1;2;4;3;3;-;1;1;-;3;6;5;2;2;8;1;261
"86 anos";3;3;-;1;-;-;4;-;4;-;1;5;1;5;2;3;-;2;2;10;4;1;4;2;1;-;11;-;1;1;-;-;4;1;-;5;10;1;-;2;2;-;1;1;-;1;-;1;5;1;1;-;2;2;2;1;-;1;-;3;5;-;4;-;4;1;1;4;7;-;5;2;1;1;5;1;-;1;16;-;3;1;3;10;1;1;1;-;-;1;-;10;6;2;3;1;1;220
"87 anos";3;1;-;3;2;-;4;-;4;-;1;6;2;2;3;2;3;2;-;9;5;4;2;1;-;1;12;4;2;-;-;-;3;2;-;1;12;-;1;1;-;1;2;1;3;-;-;5;13;3;2;-;1;1;2;1;-;3;2;-;3;-;5;-;2;2;-;7;4;-;8;6;-;3;3;2;-;1;10;2;1;2;6;3;3;4;2;2;-;4;-;9;4;2;3;9;1;251
"88 anos";1;1;-;2;-;-;4;3;4;2;1;3;2;3;-;1;2;2;1;2;6;5;6;1;-;-;12;2;-;2;-;-;2;1;-;4;8;-;-;1;1;1;-;3;-;1;-;-;15;-;1;-;-;1;1;2;-;-;-;4;1;1;4;2;6;3;2;8;6;-;5;2;2;5;3;1;1;1;21;1;4;3;4;3;-;-;2;2;-;-;1;6;3;-;1;9;-;227
"89 anos";2;1;1;1;2;1;2;3;2;-;1;1;-;-;4;1;2;-;-;8;5;4;8;2;-;1;7;2;3;1;-;-;4;2;-;4;9;1;1;-;1;-;-;1;1;1;-;2;10;-;1;-;3;-;-;-;-;-;3;1;2;-;3;1;-;1;4;1;5;1;5;2;1;-;1;-;-;-;8;1;2;3;3;4;2;4;2;1;-;-;1;14;4;2;1;4;-;193
"90 anos";3;2;-;2;3;-;-;-;6;-;1;-;-;4;3;5;1;-;-;7;6;2;-;-;-;1;12;1;1;1;-;-;6;1;1;1;9;1;-;-;-;-;1;1;1;3;-;7;8;-;1;-;3;3;5;-;1;1;-;5;3;-;4;-;1;1;1;6;5;1;8;2;-;-;1;-;-;4;17;3;4;1;4;2;2;4;-;-;1;1;1;10;2;-;3;6;1;219
"91 anos";-;4;-;1;3;-;1;1;3;1;1;3;1;2;5;-;1;-;-;5;4;6;4;4;-;-;11;-;2;1;-;-;2;3;-;-;12;1;-;1;-;-;1;5;1;1;-;2;8;1;3;-;-;3;-;1;-;1;-;1;-;-;3;-;1;3;1;2;7;-;5;3;-;7;1;-;1;-;16;1;2;3;1;4;-;1;2;-;-;-;1;12;4;2;4;6;-;204
"92 anos";-;-;-;1;1;-;1;1;3;-;-;1;2;2;1;-;-;2;-;4;3;4;2;1;-;-;10;1;-;1;-;-;6;3;-;-;14;2;-;1;-;-;-;1;-;-;-;3;8;1;1;-;1;2;-;3;-;-;1;2;2;-;4;-;-;1;1;3;5;1;2;1;1;3;1;-;-;-;13;1;3;1;1;3;-;-;1;-;-;2;-;6;-;1;-;1;1;149
"93 anos";-;2;-;2;2;-;1;-;2;-;-;4;-;-;2;1;2;-;-;6;2;-;1;-;-;1;6;-;-;1;-;-;1;2;-;2;10;-;-;1;-;-;-;-;-;-;-;2;6;-;1;-;1;1;1;-;-;-;2;2;1;-;1;-;1;2;2;4;3;1;5;6;-;1;1;-;1;-;12;1;-;1;-;1;-;-;1;1;1;-;1;9;2;3;3;5;-;137
"94 anos";1;-;-;3;2;-;2;-;-;-;-;1;1;1;3;-;1;-;-;1;1;1;2;1;-;-;5;2;2;-;-;-;2;-;-;1;6;-;-;2;-;-;-;2;-;-;-;-;2;1;1;-;1;2;1;-;-;2;-;-;-;-;2;-;-;1;-;4;3;1;2;1;1;1;1;1;-;1;6;2;4;3;-;-;-;1;3;-;1;-;-;6;3;1;1;2;1;106
"95 anos";-;-;2;2;1;-;2;1;-;-;-;-;-;2;-;-;1;-;-;1;2;4;-;-;-;-;4;-;-;1;-;-;1;1;-;1;3;-;1;-;-;-;-;1;-;-;-;2;5;1;2;-;1;2;1;1;-;-;-;-;1;-;1;-;1;2;-;3;4;1;4;1;1;1;-;1;-;-;9;2;2;-;-;1;1;-;-;-;-;-;1;7;1;1;1;3;-;96
"96 anos";-;1;-;1;-;1;-;1;1;-;1;1;2;-;1;-;1;-;-;3;-;2;-;-;-;-;4;1;-;-;-;-;1;1;-;1;4;-;-;-;-;1;-;-;1;1;-;-;7;1;-;-;2;-;-;-;-;-;1;-;2;-;3;-;1;-;-;2;2;1;2;-;-;1;1;1;-;-;7;1;-;1;-;-;1;-;1;-;-;-;2;3;2;-;1;2;1;80
"97 anos";-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;2;-;-;2;-;1;-;-;-;-;4;-;-;1;-;-;1;4;-;-;4;-;-;1;-;-;-;1;-;-;-;1;2;-;-;-;1;-;-;-;-;1;-;2;1;-;1;1;-;-;-;1;-;1;-;2;-;-;-;-;-;-;4;2;1;1;-;2;-;-;-;-;-;1;-;4;1;-;-;-;-;54
"98 anos";-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;7;1;-;1;-;1;-;-;-;-;-;1;1;1;-;-;1;2;-;34
"99 anos";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;1;-;2;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;-;27
"100 anos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;21
"101 anos";1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"102 anos";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"103 anos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;4
"104 anos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"105 anos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"106 anos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"107 anos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"108 anos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"Ignorado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";89;57;9;103;67;19;78;44;157;35;34;158;70;75;125;128;88;59;36;273;179;135;114;72;12;21;400;54;62;48;13;11;162;80;36;102;438;51;9;70;27;18;29;64;36;29;10;67;375;44;73;7;66;70;37;32;24;31;37;119;69;9;108;61;96;70;69;189;240;54;167;109;36;133;86;60;18;50;545;112;90;84;99;134;41;58;60;40;31;45;53;344;165;63;95;189;31;8871
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. Os coeficientes de mortalidade podem ser tabuladas por Distrito Administrativo e seus agregados (Supervisão de Saúde e Região), faixa etária e sexo.
